diameter_mm,torque_nm,shear_stress_mpa,factor_of_safety,status
10,100,509.2958178940651,0.2945243112740431,FAIL
10,200,1018.5916357881302,0.14726215563702155,FAIL
10,300,1527.8874536821954,0.09817477042468102,FAIL
10,400,2037.1832715762605,0.07363107781851078,FAIL
10,500,2546.4790894703256,0.05890486225480862,FAIL
10,600,3055.774907364391,0.04908738521234051,FAIL
10,700,3565.0707252584557,0.042074901610577586,FAIL
10,800,4074.366543152521,0.03681553890925539,FAIL
10,900,4583.662361046586,0.032724923474893676,FAIL
10,1000,5092.958178940651,0.02945243112740431,FAIL
11,100,382.64148602108577,0.3920118583057513,FAIL
11,200,765.2829720421715,0.19600592915287565,FAIL
11,300,1147.9244580632574,0.13067061943525043,FAIL
11,400,1530.565944084343,0.09800296457643783,FAIL
11,500,1913.2074301054288,0.07840237166115027,FAIL
11,600,2295.8489161265147,0.06533530971762522,FAIL
11,700,2678.4904021476004,0.05600169404367876,FAIL
11,800,3061.131888168686,0.04900148228821891,FAIL
11,900,3443.773374189772,0.04355687314508348,FAIL
11,1000,3826.4148602108576,0.039201185830575136,FAIL
12,100,294.7313760961025,0.5089380098815465,FAIL
12,200,589.462752192205,0.25446900494077324,FAIL
12,300,884.1941282883075,0.16964600329384882,FAIL
12,400,1178.92550438441,0.12723450247038662,FAIL
12,500,1473.6568804805124,0.1017876019763093,FAIL
12,600,1768.388256576615,0.08482300164692441,FAIL
12,700,2063.1196326727177,0.07270542998307807,FAIL
12,800,2357.85100876882,0.06361725123519331,FAIL
12,900,2652.5823848649225,0.05654866776461628,FAIL
12,1000,2947.313760961025,0.05089380098815465,FAIL
13,100,231.8142093282044,0.6470699118690727,FAIL
13,200,463.6284186564088,0.32353495593453635,FAIL
13,300,695.4426279846132,0.21568997062302425,FAIL
13,400,927.2568373128177,0.16176747796726818,FAIL
13,500,1159.0710466410221,0.12941398237381455,FAIL
13,600,1390.8852559692264,0.10784498531151213,FAIL
13,700,1622.6994652974308,0.09243855883843896,FAIL
13,800,1854.5136746256353,0.08088373898363409,FAIL
13,900,2086.32788395384,0.07189665687434141,FAIL
13,1000,2318.1420932820442,0.06470699118690727,FAIL
14,100,185.60343217713742,0.8081747101359743,FAIL
14,200,371.20686435427484,0.40408735506798715,FAIL
14,300,556.8102965314122,0.2693915700453248,FAIL
14,400,742.4137287085497,0.20204367753399358,FAIL
14,500,928.0171608856871,0.16163494202719486,FAIL
14,600,1113.6205930628244,0.1346957850226624,FAIL
14,700,1299.2240252399617,0.11545353001942492,FAIL
14,800,1484.8274574170994,0.10102183876699679,FAIL
14,900,1670.4308895942368,0.08979719001510826,FAIL
14,1000,1856.0343217713742,0.08081747101359743,FAIL
15,100,150.90246456120448,0.9940195505498954,FAIL
15,200,301.80492912240896,0.4970097752749477,FAIL
15,300,452.7073936836134,0.3313398501832985,FAIL
15,400,603.6098582448179,0.24850488763747386,FAIL
15,500,754.5123228060223,0.1988039101099791,FAIL
15,600,905.4147873672268,0.16566992509164924,FAIL
15,700,1056.3172519284312,0.14200279293569937,FAIL
